Tribe,Apocynaceae,Asteraceae,Bignoniaceae,Boraginaceae,Burseraceae,Convolvulaceae,Euphorbiaceae,Leguminosae,Loasaceae,Malpighiaceae,Malvaceae,Passifloraceae,Solanaceae,Vervenaceae
Anthiidini,0,12,3,0,0,9,2,21,2,0,18,2,1,1
Augochlorini,0,26,8,0,0,0,15,4,3,0,27,17,1,0
Centridini,0,1,16,0,1,3,2,4,0,8,6,1,0,0
Ceratinini,2,75,2,0,0,3,10,1,0,0,16,3,0,3
Emphorini,0,17,51,0,0,22,1,4,0,0,26,14,0,2
Ericrocidini,0,0,0,0,0,0,0,0,0,0,6,0,0,0
Eucerini,0,2,0,0,0,0,3,2,0,0,4,1,0,1
Euglossini,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Exomalopsini,0,1,0,0,0,0,2,2,0,0,3,0,0,0
Halictini,0,24,2,0,0,0,7,4,0,0,10,24,0,0
Megachilini,0,10,3,0,0,3,2,12,0,1,11,2,0,0
Meliponini,9,2,1,0,21,21,7,5,0,2,7,2,0,0
Protepeolini,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Tapinotaspidini,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tetrapedini,0,4,1,1,0,0,3,1,0,1,1,2,0,0
Xylocopini,0,0,1,0,0,0,0,1,0,0,0,0,0,0
