Tribe,Boraginaceae,Verbenaceae,Convolvulaceae,Euphorbiaceae,Portulacaceae,Malvaceae,Rubiaceae,Leguminosae,Nyctaginaceae,Solanaceae,Capparaceae,Anacardiaceae,Apocynaceae,Rutaceae,Cactaceae,Passifloraceae
Apini,301,1,0,157,43,36,24,33,0,42,15,23,37,41,0,42
Meliponini,17,1,10,33,41,24,1,21,10,0,0,0,0,0,16,0
Meliponini,132,1,0,85,81,37,0,54,25,21,14,19,46,19,0,0
Centridini,26,60,6,8,0,13,3,22,0,8,0,0,0,0,0,0
Halictini,1,0,2,2,2,1,0,1,1,0,0,0,1,0,0,0
Exomalopsini,3,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0
Augochlorini,4,0,6,10,5,11,1,0,1,0,0,0,0,0,0,0
Halictini,1,0,1,1,2,2,1,0,1,0,0,0,0,0,0,0
Halictini,0,0,2,3,2,2,1,0,0,0,0,0,0,0,0,0
Emphorini,4,0,0,3,1,2,0,3,0,2,0,0,0,0,0,0
Meliponini,7,0,0,1,0,0,3,15,15,0,6,0,0,0,0,0
Xylocopini,21,1,0,0,0,0,3,38,0,4,0,0,0,0,0,0
Centridini,8,27,0,0,0,7,1,11,0,0,0,0,0,0,0,0
Eucerini,1,2,0,37,0,14,0,1,0,0,0,0,0,0,0,0
Megachilini,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
Meliponini,91,0,5,0,9,0,0,35,0,0,0,0,9,0,0,0
Euglossini,21,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
Emphorini,11,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0
Exomalopsini,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Emphorini,9,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
Emphorini,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0
Halictini,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
Ericrocidini,1,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Exomalopsini,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Exomalopsini,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
Exomalopsini,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Emphorini,12,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0
Centridini,15,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Centridini,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Halictini,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0
Megachilini,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Ericrocidini,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ericrocidini,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Centridini,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Exomalopsini,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Anthidiini,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Meliponini,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
Euglossini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Centridini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euglossini,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centridini,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colletini,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Halictini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Augochlorini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Augochlorini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Halictini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Anthidiini,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Megachilini,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
